TestType,BuildVariant,Nodes,TotalTasks,TasksPerNode,ThreadsPerTask,EnergySources,XDim,YDim,Iterations,TotalTime,ComputationTime,InternalCompTime,BorderCompTime,CommunicationTime,InitTime
strong,ofast_omp_improved,4,8,2,56,8,16384,16384,500,23.1767,22.6968,22.3898,0.3084,0.4789,0.1801
strong,ofast_omp_improved,2,16,8,14,2,16384,16384,500,11.3767,11.2288,11.1283,0.1005,0.5476,0.0916
strong,ofast_omp_improved,2,16,8,14,1,16384,16384,500,11.4736,11.3320,11.2364,0.0984,0.5592,0.1694
strong,ofast_omp_improved,2,16,8,14,8,16384,16384,500,11.4931,11.3477,11.2529,0.0990,0.5538,0.1641
strong,ofast_omp_improved,2,32,16,7,1,16384,16384,500,6.6536,6.5634,6.5063,0.0576,0.6887,0.0461
strong,ofast_omp_improved,2,32,16,7,2,16384,16384,500,6.3976,6.2921,6.2328,0.0593,0.3602,0.0500
strong,ofast_omp_improved,2,32,16,7,8,16384,16384,500,7.6206,7.5255,7.4640,0.0615,1.8342,0.0451
strong,ofast_omp_improved,2,4,2,56,1,16384,16384,500,46.0960,45.7289,45.4061,0.3248,1.2931,0.3346
strong,ofast_omp_improved,2,4,2,56,8,16384,16384,500,45.4774,45.1627,44.8318,0.3309,1.3750,0.3275
strong,ofast_omp_improved,2,4,2,56,2,16384,16384,500,47.2888,46.9909,46.6655,0.3290,2.4911,0.3376
strong,ofast_omp_improved,1,8,8,14,1,16384,16384,500,23.3880,23.1813,23.0657,0.1199,1.4448,0.1747
strong,ofast_omp_improved,1,8,8,14,2,16384,16384,500,25.6288,25.4149,25.2996,0.1178,3.6669,0.1680
strong,ofast_omp_improved,1,8,8,14,8,16384,16384,500,22.6921,22.5690,22.4528,0.1185,0.6914,0.1713
strong,ofast_omp_improved,1,16,16,7,2,16384,16384,500,12.5982,12.5349,12.4654,0.0734,0.3556,0.0928
strong,ofast_omp_improved,1,16,16,7,1,16384,16384,500,12.6143,12.5503,12.4785,0.0728,0.4310,0.0947
strong,ofast_omp_improved,1,16,16,7,8,16384,16384,500,13.7697,13.6627,13.5945,0.0721,1.6038,0.0900
strong,ofast_omp_improved,1,2,2,56,2,16384,16384,500,102.1061,101.6801,101.2457,0.4419,1.1991,0.6928
strong,ofast_omp_improved,1,2,2,56,8,16384,16384,500,100.1503,99.6960,99.2790,0.4416,1.0660,0.6952
strong,ofast_omp_improved,1,2,2,56,1,16384,16384,500,105.3937,104.9445,104.5242,0.4406,5.9591,0.7047
strong,ofast,8,128,16,7,8,16384,16384,500,1.6152,1.5550,1.5172,0.0407,0.1720,0.0128
strong,ofast_omp_improved,8,128,16,7,8,16384,16384,500,1.6018,1.5317,1.4940,0.0405,0.1287,0.0124
